slice_variable,slice_value,n,n_fraud,fraud_rate,n_pred_fraud,n_caught,n_false_pos,recall_at_0.5,precision_at_0.5,auc,average_precision
amount_bucket,$10-100,311484,330,0.001059444465847363,47,39,8,0.11818181818181818,0.8297872340425532,0.9633231211047983,0.20725899573076453
amount_bucket,$100-1000,98402,1389,0.014115566756773236,3,1,2,0.0007199424046076314,0.3333333333333333,0.9396774045341997,0.22787515286351356
amount_bucket,$1000-10000,1571,276,0.17568427753023552,0,0,0,0.0,0.0,0.9413015499972022,0.7545841646573512
amount_bucket,<$10,144250,150,0.0010398613518197574,218,52,166,0.3466666666666667,0.23853211009174313,0.9466130927596577,0.1469047605692006
amount_bucket,>$10000,12,0,0.0,0,0,0,0.0,0.0,,
hour_bucket,00-05_night,108945,754,0.006920923401716462,100,86,14,0.11405835543766578,0.86,0.9363125354470004,0.27116900387776244
hour_bucket,06-11_morning,108380,83,0.0007658239527588116,21,4,17,0.04819277108433735,0.19047619047619047,0.8353459267692114,0.04273501249072134
hour_bucket,12-17_afternoon,169094,103,0.0006091286503364992,98,0,98,0.0,0.0,0.8245944389639179,0.0021729315141293592
hour_bucket,18-23_evening,169300,1205,0.0071175428233904315,49,2,47,0.0016597510373443983,0.04081632653061224,0.9350672208056623,0.06938385126561127
merchant_category,entertainment,40104,59,0.001471174945142629,0,0,0,0.0,0.0,0.9977446982314389,0.484934288070164
merchant_category,food_dining,39268,54,0.0013751655291840686,2,0,2,0.0,0.0,0.9277029745612395,0.010616512880510345
merchant_category,gas_transport,56370,154,0.0027319496185914493,90,90,0,0.5844155844155844,1.0,0.9996977105006848,0.9448274579409679
merchant_category,grocery_net,19426,41,0.0021105734582518272,1,0,1,0.0,0.0,0.9635599564662141,0.0486627062009266
merchant_category,grocery_pos,52553,485,0.009228778566399636,1,1,0,0.002061855670103093,1.0,0.992561867945882,0.8023613919836
merchant_category,health_fitness,36674,52,0.0014178982385341114,0,0,0,0.0,0.0,0.9143211520607621,0.008359551254586454
merchant_category,home,52345,67,0.0012799694335657657,0,0,0,0.0,0.0,0.9830323020499476,0.10556895931740445
merchant_category,kids_pets,48692,65,0.0013349215476875051,6,0,6,0.0,0.0,0.9187401427823416,0.007691729378709052
merchant_category,misc_net,27367,267,0.00975627580662842,0,0,0,0.0,0.0,0.9444695053692111,0.17843595875446547
merchant_category,misc_pos,34574,72,0.0020824897321686815,52,1,51,0.013888888888888888,0.019230769230769232,0.734222734269833,0.008805918010219432
merchant_category,personal_care,39327,70,0.0017799476186843644,0,0,0,0.0,0.0,0.9089811098293662,0.009391906831067947
merchant_category,shopping_net,41779,506,0.012111347806314177,0,0,0,0.0,0.0,0.9310497277886212,0.09036949247007005
merchant_category,shopping_pos,49791,213,0.0042778815448575045,0,0,0,0.0,0.0,0.8874925024483638,0.0205993869636835
merchant_category,travel,17449,40,0.0022923949796549944,116,0,116,0.0,0.0,0.7956617266930899,0.006454093596530067
gender,F,304886,1164,0.003817820431243153,131,31,100,0.02663230240549828,0.2366412213740458,0.9077679223682372,0.05379051043272596
gender,M,250833,981,0.003910968652450037,137,61,76,0.06218144750254842,0.44525547445255476,0.9242553793680721,0.08497300205690661
