number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.6011225292920243,2026-05-22 15:30:34.393260,2026-05-22 15:30:56.678577,0 days 00:00:22.285317,0.5779972601681014,0.1205712628744377,10,350,2.550264850403287e-06,1.156732719914599,15.75132049977973,0.5780093202212182,COMPLETE
1,0.515167637551998,2026-05-22 15:30:56.679577,2026-05-22 15:33:29.605892,0 days 00:02:32.926315,0.6061695553391381,0.010725209743171996,8,550,1.8740223688836324e-05,1.922346047064365e-05,87.06020878304857,0.9162213204002109,COMPLETE
2,0.8949797001679859,2026-05-22 15:33:29.608980,2026-05-22 15:33:57.119058,0 days 00:00:27.510078,0.569746930326021,0.04345454109729477,7,300,0.00011092068418536184,0.0003668874895499185,3.8234752246751853,0.8059264473611898,COMPLETE
3,0.7917834191132793,2026-05-22 15:33:57.119058,2026-05-22 15:34:13.929862,0 days 00:00:16.810804,0.5232252063599989,0.019721610970574007,9,400,0.017898389848671606,1.5619562520792747e-05,10.677482709481351,0.7962072844310213,COMPLETE
4,0.7153807325843946,2026-05-22 15:34:13.929862,2026-05-22 15:34:19.185161,0 days 00:00:05.255299,0.5488360570031919,0.26690431824362526,10,100,0.06160715952774549,0.0012052231254145623,41.380401125610156,0.6523068845866853,COMPLETE
5,0.09677487648960298,2026-05-22 15:34:19.185161,2026-05-22 15:34:24.936453,0 days 00:00:05.751292,0.831261142176991,0.011240768803005551,6,150,0.0001520468869219893,0.004369946783595583,65.86289317583112,0.6293899908000085,COMPLETE
6,0.9620411930027266,2026-05-22 15:34:24.937458,2026-05-22 15:34:35.320547,0 days 00:00:10.383089,0.9474136752138245,0.27051668818999286,4,500,0.015321449415450729,2.8387009634436295,35.50304858128308,0.9697494707820946,COMPLETE
7,0.6003425652182639,2026-05-22 15:34:35.320547,2026-05-22 15:34:39.774613,0 days 00:00:04.454066,0.6356745158869479,0.011662890273931383,4,150,0.6326486185661588,0.0003142485531883166,4.473636174621264,0.6943386448447411,COMPLETE
8,0.20408029752128282,2026-05-22 15:34:39.774613,2026-05-22 15:34:51.293266,0 days 00:00:11.518653,0.9934434683002586,0.016149614799999188,7,300,0.2545150013091294,2.4604229580184192e-05,40.215545266902886,0.5372753218398854,COMPLETE
9,0.9452497242689701,2026-05-22 15:34:51.294279,2026-05-22 15:34:56.561689,0 days 00:00:05.267410,0.5370223258670452,0.11069143219393454,9,100,0.0003230428252240964,6.472669269538641e-06,28.70875348195468,0.8856351733429728,COMPLETE
10,0.8883253052722718,2026-05-22 15:34:56.561689,2026-05-22 15:35:11.221939,0 days 00:00:14.660250,0.9538323976412588,0.2704729722717776,3,800,5.228718023161329,6.876619532793238,1.0862348973937144,0.9919371080730972,COMPLETE
11,0.8733634915028912,2026-05-22 15:35:11.223000,2026-05-22 15:35:25.547787,0 days 00:00:14.324787,0.7491729271388597,0.11511579879447058,5,600,0.0020370329154028987,0.06753436544696881,20.759917675098652,0.8991358530198215,COMPLETE
12,0.9551352536254284,2026-05-22 15:35:25.547787,2026-05-22 15:35:36.358071,0 days 00:00:10.810284,0.8615491395875623,0.1305392574908533,3,550,0.0019095741730503948,0.05466714667177817,28.463125811845345,0.9905169711424098,COMPLETE
13,0.957098099459193,2026-05-22 15:35:36.358071,2026-05-22 15:35:48.153749,0 days 00:00:11.795678,0.8785707251225086,0.17614901867816987,3,550,0.00446911241500349,0.0923935771800147,4.932590932086841,0.9952400573085499,COMPLETE
14,0.949288389379687,2026-05-22 15:35:48.153749,2026-05-22 15:36:15.152889,0 days 00:00:26.999140,0.8940298274686582,0.19354813802627246,5,700,0.017841784586287487,0.2691671640153804,4.709695855956926,0.9428478811143278,COMPLETE
15,0.8491798684611209,2026-05-22 15:36:15.152889,2026-05-22 15:36:35.479444,0 days 00:00:20.326555,0.7778028586781293,0.057442837008057634,4,500,0.005242672023496199,6.09381077438791,2.14344607897035,0.8325809723893237,COMPLETE
16,0.9405801578103745,2026-05-22 15:36:35.479444,2026-05-22 15:36:54.924195,0 days 00:00:19.444751,0.9236793253371007,0.065872669079022,4,700,0.22686279924387334,0.01470567472143128,8.478772686135189,0.9993476292849305,COMPLETE
17,0.9128777762284755,2026-05-22 15:36:54.924195,2026-05-22 15:37:09.963540,0 days 00:00:15.039345,0.6943845973931931,0.1744115940116885,3,450,2.002183405260091,0.7700306123159134,10.766071937007405,0.730400062259047,COMPLETE
18,0.8835547405310435,2026-05-22 15:37:09.963540,2026-05-22 15:37:29.306245,0 days 00:00:19.342705,0.8137099133074839,0.07836360549485492,5,650,0.054134391863903335,0.18947216565783967,1.974346750480727,0.8441776737355275,COMPLETE
19,0.9315999626348377,2026-05-22 15:37:29.307245,2026-05-22 15:38:01.536535,0 days 00:00:32.229290,0.9928394698896904,0.036046969689776935,4,800,0.0007605977589872542,0.8570910616239972,7.336538861985154,0.9467362394492501,COMPLETE
20,0.9362032873679013,2026-05-22 15:38:01.537536,2026-05-22 15:38:21.402439,0 days 00:00:19.864903,0.8980570857694244,0.18291466590952005,6,450,3.2358745758703676e-05,0.011899987270441052,2.63272061630844,0.8614174361655524,COMPLETE
21,0.9325747711903853,2026-05-22 15:38:21.403524,2026-05-22 15:38:35.697984,0 days 00:00:14.294460,0.856995421265769,0.16161445557774803,3,550,0.004182808255452205,0.06296759289503503,19.51677709700271,0.9633775850447397,COMPLETE
22,0.9297402946058771,2026-05-22 15:38:35.697984,2026-05-22 15:38:48.831563,0 days 00:00:13.133579,0.8768566213317985,0.2937827566639752,3,550,0.0011489844134478268,0.03423250129690268,54.70648126311346,0.9929467414870505,COMPLETE
23,0.910536703292324,2026-05-22 15:38:48.831563,2026-05-22 15:39:11.058320,0 days 00:00:22.226757,0.9409600265127057,0.1374716360528525,3,650,0.011744107355979303,1.801202009563373,33.29635106746831,0.9312404495902852,COMPLETE
24,0.905928528532914,2026-05-22 15:39:11.059320,2026-05-22 15:39:25.028158,0 days 00:00:13.968838,0.7881031508603169,0.09369120226605358,4,500,0.0625437215414033,0.19807202568622703,98.84157497090006,0.9578425937471792,COMPLETE
25,0.9644356515996079,2026-05-22 15:39:25.029166,2026-05-22 15:39:37.671224,0 days 00:00:12.642058,0.7269111389090186,0.21962223412218645,5,400,0.0006080567474434866,9.905911841286033,14.825891090875654,0.8786573830716804,COMPLETE
26,0.9317524306535713,2026-05-22 15:39:37.671224,2026-05-22 15:39:51.139180,0 days 00:00:13.467956,0.7121316254573203,0.21722724066271415,5,350,0.0003773086675892655,9.915338764479008,6.147238999738145,0.7727738046369513,COMPLETE
27,0.9479080532695766,2026-05-22 15:39:51.139180,2026-05-22 15:40:07.596971,0 days 00:00:16.457791,0.6614581510218185,0.25430826672372164,6,250,4.3672265948750785e-05,4.536916086585203,13.251417145298985,0.891234515163111,COMPLETE
