day,n_rows,n_features_flagged,flagged_features,ks_amount,ks_amount_pvalue,ks_amount_zscore,ks_tx_amount_log,proba_psi,proba_psi_flag,drift_fired,fire_reason,inference_ms,injected
0,1888,0,,0.0196,0.5129,0.0196,0.0196,0.0353,False,False,,34.65,False
1,2135,0,,0.0425,0.001822,0.0425,0.0425,0.0476,False,False,,15.71,False
2,2776,0,,0.0146,0.6722,0.0146,0.0146,0.0489,False,False,,54.92,False
3,3274,0,,0.0137,0.6646,0.0137,0.0137,0.0134,False,False,,20.53,False
4,2693,0,,0.0383,0.001837,0.0383,0.0383,0.0153,False,False,,27.38,False
5,1620,0,,0.0258,0.266,0.0258,0.0258,0.0291,False,False,,15.99,False
6,1728,0,,0.021,0.4798,0.021,0.021,0.0271,False,False,,68.67,False
7,1890,0,,0.0217,0.386,0.0217,0.0217,0.0202,False,False,,15.83,False
8,2026,0,,0.0349,0.02211,0.0349,0.0349,0.0171,False,False,,63.53,False
9,2842,0,,0.0294,0.02668,0.0294,0.0294,0.0968,False,False,,19.45,False
10,3286,0,,0.0101,0.9328,0.0101,0.0101,0.0854,False,False,,50.33,False
11,2749,0,,0.0266,0.06346,0.0266,0.0266,0.0237,False,False,,18.89,False
12,1590,0,,0.0374,0.03182,0.0374,0.0374,0.0127,False,False,,32.45,False
13,1704,0,,0.0226,0.3926,0.0226,0.0226,0.0492,False,False,,18.58,False
14,1851,0,,0.0133,0.9233,0.0133,0.0133,0.045,False,False,,16.09,False
15,2061,0,,0.0211,0.3709,0.0211,0.0211,0.038,False,False,,30.99,False
16,2864,0,,0.0202,0.2557,0.0202,0.0202,0.0222,False,False,,24.18,False
17,3225,0,,0.0162,0.4524,0.0162,0.0162,0.008,False,False,,20.69,False
18,2739,0,,0.0334,0.008927,0.0334,0.0334,0.0105,False,False,,72.75,False
19,1530,0,,0.0216,0.5141,0.0216,0.0216,0.007,False,False,,13.47,False
20,1680,0,,0.0171,0.7454,0.0171,0.0171,0.01,False,False,,53.39,False
21,1820,0,,0.019,0.5771,0.019,0.019,0.0208,False,False,,20.38,False
22,2087,0,,0.0372,0.01039,0.0372,0.0372,0.0203,False,False,,17.08,False
23,2789,5,amount;tx_amount_log;amount_zscore;balance_change_abs;balance_change_log,0.978,0.0,1.0,0.978,3.1557,True,True,feature_ks (n=5) + proba_psi=3.156,21.76,True
24,3177,5,amount;tx_amount_log;amount_zscore;balance_change_abs;balance_change_log,0.978,0.0,1.0,0.978,3.121,True,True,feature_ks (n=5) + proba_psi=3.121,83.33,True
25,2723,5,amount;tx_amount_log;amount_zscore;balance_change_abs;balance_change_log,0.978,0.0,1.0,0.978,2.9164,True,True,feature_ks (n=5) + proba_psi=2.916,16.21,True
26,1587,5,amount;tx_amount_log;amount_zscore;balance_change_abs;balance_change_log,0.978,0.0,1.0,0.978,3.2227,True,True,feature_ks (n=5) + proba_psi=3.223,27.39,True
27,1672,5,amount;tx_amount_log;amount_zscore;balance_change_abs;balance_change_log,0.978,0.0,1.0,0.978,3.2747,True,True,feature_ks (n=5) + proba_psi=3.275,15.16,True
28,1844,5,amount;tx_amount_log;amount_zscore;balance_change_abs;balance_change_log,0.978,0.0,1.0,0.978,3.1808,True,True,feature_ks (n=5) + proba_psi=3.181,25.43,True
29,2112,5,amount;tx_amount_log;amount_zscore;balance_change_abs;balance_change_log,0.978,0.0,1.0,0.978,3.1331,True,True,feature_ks (n=5) + proba_psi=3.133,16.0,True
